order_id,customer_id,store_id,order_date,payment_method,order_status
O000049,C02689,S005,2025-11-08,Cash,Completed
O000050,C01717,S005,2026-07-05,Credit Card,Completed
O000051,C06673,S001,2025-08-10,Debit,Completed
O000052,C03772,S007,2025-09-16,Cash,Completed
O000053,C07039,S003,2025-11-29,Cash,Completed
O000054,C05892,S007,2026-05-22,Debit,Completed
O000055,C02218,S003,2026-06-02,Cash,Completed
O000056,C03338,S003,2025-11-14,Cash,Completed
O000057,C00139,S003,2026-07-11,Debit,Completed
O000058,C06901,S006,2026-02-05,Credit Card,Completed
O000059,C05624,S007,2025-09-15,Credit Card,Completed
O000060,C07713,S003,2026-02-07,Debit,Completed
O000061,C03362,S002,2025-12-25,Cash,Completed
O000062,C07807,S006,2025-07-31,Credit Card,Completed
O000063,C05216,S008,2026-04-30,Credit Card,Completed
O000064,C04757,S006,2026-04-05,Debit,Completed
O000065,C04304,S002,2026-02-21,Debit,Completed
O000066,C04841,S007,2026-02-18,Credit Card,Completed
O000067,C04391,S007,2025-10-23,Cash,Completed
O000068,C03955,S005,2025-10-13,Debit,Completed
O000069,C02780,S004,2025-10-24,Debit,Completed
O000070,C08300,S008,2025-11-10,Credit Card,Completed
O000071,C01869,S001,2026-06-16,Debit,Completed
O000072,C05067,S007,2026-07-13,Credit Card,Completed
O000073,C03650,S002,2026-04-18,Credit Card,Completed
O000074,C05232,S003,2026-07-16,Credit Card,Completed
O000075,C03689,S005,2026-05-14,Credit Card,Completed
O000076,C02337,S004,2026-04-26,Debit,Completed
O000077,C07330,S008,2025-09-10,Cash,Completed
O000078,C07822,S007,2026-03-17,Credit Card,Completed
O000079,C04970,S001,2025-09-16,Credit Card,Completed
O000080,C08725,S003,2025-08-17,Credit Card,Completed
O000081,C01146,S005,2025-10-28,Debit,Completed
O000082,C03516,S004,2025-12-26,Debit,Completed
O000083,C05986,S002,2026-06-07,Cash,Completed
O000084,C00958,S002,2025-10-04,Debit,Completed
O000085,C03610,S008,2025-12-29,Debit,Completed
O000086,C03098,S007,2025-11-09,Cash,Completed
O000087,C08139,S006,2026-03-30,Credit Card,Completed
O000088,C02582,S005,2025-11-02,Debit,Completed
O000089,C09710,S005,2025-10-05,Cash,Completed
O000090,C06337,S006,2026-06-21,Credit Card,Completed
O000091,C06724,S008,2025-11-11,Debit,Completed
O000092,C02743,S002,2026-03-23,Debit,Completed
O000093,C08291,S002,2026-07-09,Cash,Completed
O000094,C02207,S006,2025-12-31,Credit Card,Completed
O000095,C02670,S008,2025-11-27,Debit,Completed
O000096,C08437,S004,2026-03-17,Credit Card,Completed
O000097,C06571,S004,2026-07-24,Cash,Completed
O000098,C06735,S006,2025-09-14,Credit Card,Completed
O000099,C01328,S007,2026-03-24,Cash,Completed
O000100,C08845,S006,2026-06-02,Cash,Completed
O000101,C05250,S002,2026-05-09,Debit,Completed
O000102,C08771,S001,2025-09-23,Debit,Completed
O000103,C07665,S005,2025-12-29,Debit,Completed
O000104,C03857,S002,2025-11-06,Cash,Completed
O000105,C00356,S002,2026-05-10,Cash,Completed
O000106,C04490,S007,2026-01-01,Cash,Completed
O000107,C00828,S001,2026-06-15,Cash,Completed
O000108,C02986,S001,2025-10-01,Credit Card,Completed
O000109,C08550,S006,2026-04-22,Cash,Completed
O000110,C00166,S005,2025-11-08,Cash,Completed
O000111,C06213,S008,2026-03-10,Credit Card,Completed
O000112,C04820,S005,2026-05-11,Credit Card,Completed
O000113,C08906,S006,2026-03-01,Cash,Completed
O000114,C06459,S006,2026-01-19,Cash,Completed
O000115,C08691,S002,2026-01-29,Credit Card,Completed
O000116,C00617,S001,2025-10-17,Debit,Completed
O000117,C01308,S002,2026-05-30,Credit Card,Completed
O000118,C07802,S005,2025-08-06,Credit Card,Completed
O000119,C01942,S004,2025-09-10,Cash,Completed
O000120,C08368,S007,2025-11-26,Cash,Completed
O000121,C05658,S002,2026-03-07,Cash,Completed
O000122,C08692,S001,2025-11-01,Cash,Completed
O000123,C05609,S002,2025-11-20,Cash,Completed
O000124,C08860,S008,2025-10-06,Cash,Completed
O000125,C07542,S006,2026-04-28,Debit,Completed
O000126,C08652,S002,2025-08-28,Credit Card,Completed
O000127,C01496,S007,2026-05-02,Credit Card,Completed
O000128,C04811,S004,2025-11-13,Cash,Completed
O000129,C02315,S003,2026-06-11,Debit,Completed
O000130,C01055,S001,2025-11-03,Cash,Completed
O000131,C01762,S008,2025-12-09,Cash,Completed
O000132,C00607,S003,2026-03-01,Debit,Completed
O000133,C05114,S008,2026-05-14,Debit,Completed
O000134,C07268,S005,2026-03-24,Debit,Completed
O000135,C07948,S003,2025-12-11,Debit,Completed
O000136,C04527,S004,2025-12-09,Debit,Completed
O000137,C09545,S005,2026-06-02,Debit,Completed
O000138,C01122,S004,2026-02-09,Cash,Completed
O000139,C07442,S003,2026-01-30,Credit Card,Completed
O000140,C07783,S003,2026-05-16,Debit,Completed
O000141,C01327,S007,2025-08-03,Debit,Completed
O000142,C08893,S007,2025-12-29,Debit,Completed
O000143,C00439,S008,2026-02-10,Credit Card,Completed
O000144,C05941,S005,2026-03-07,Cash,Completed
O000145,C03794,S005,2026-03-08,Credit Card,Completed
O000146,C04782,S001,2025-12-15,Debit,Completed
O000147,C02818,S005,2025-08-13,Cash,Completed
O000148,C08322,S007,2026-04-08,Debit,Completed
O000149,C07594,S008,2025-11-23,Credit Card,Completed
O000150,C09535,S004,2025-10-10,Debit,Completed
O000151,C07502,S001,2025-12-15,Debit,Completed
O000152,C03534,S003,2026-07-16,Cash,Completed
O000153,C00813,S001,2026-01-15,Credit Card,Completed
O000154,C06926,S006,2026-04-24,Credit Card,Completed
O000155,C05362,S003,2025-10-27,Debit,Completed
O000156,C04983,S008,2025-11-24,Debit,Completed
O000157,C04299,S008,2025-09-28,Credit Card,Completed
O000158,C04337,S006,2026-04-10,Debit,Completed
O000159,C09047,S008,2026-06-01,Debit,Completed
O000160,C06816,S003,2026-01-05,Cash,Completed
O000161,C06431,S002,2026-04-26,Credit Card,Completed
O000162,C06711,S002,2025-10-10,Credit Card,Completed
O000163,C02565,S003,2026-07-18,Debit,Completed
O000164,C08436,S001,2026-01-24,Debit,Completed
O000165,C01329,S007,2025-11-08,Cash,Completed
O000166,C07242,S006,2026-01-02,Cash,Completed
O000167,C05917,S006,2026-05-26,Credit Card,Completed
O000168,C05140,S004,2026-01-17,Debit,Completed
O000169,C07674,S007,2026-07-14,Credit Card,Completed
O000170,C02845,S007,2026-01-23,Cash,Completed
O000171,C01725,S007,2026-05-04,Credit Card,Completed
O000172,C09181,S007,2025-12-28,Credit Card,Completed
O000173,C06735,S007,2025-12-01,Cash,Completed
O000174,C00597,S005,2025-08-22,Credit Card,Completed
O000175,C08452,S003,2025-10-03,Cash,Completed
O000176,C03375,S006,2026-06-17,Cash,Completed
O000177,C01856,S008,2025-10-22,Cash,Completed
O000178,C04104,S002,2026-01-27,Debit,Completed
O000179,C09495,S002,2026-07-20,Credit Card,Completed
O000180,C06224,S005,2025-08-01,Credit Card,Completed
O000181,C00970,S005,2025-08-31,Cash,Completed
O000182,C03812,S005,2025-09-24,Debit,Completed
O000183,C05389,S007,2026-04-13,Credit Card,Completed
O000184,C08242,S001,2026-03-10,Debit,Completed
O000185,C02443,S008,2026-02-19,Credit Card,Completed
O000186,C06891,S001,2026-07-27,Cash,Completed
O000187,C06578,S003,2026-03-22,Debit,Completed
O000188,C05691,S003,2026-06-17,Credit Card,Completed
O000189,C03092,S002,2026-03-13,Cash,Completed
O000190,C06374,S004,2025-12-27,Credit Card,Completed
O000191,C00824,S004,2025-08-10,Credit Card,Completed
O000192,C07015,S008,2025-08-27,Cash,Completed
O000193,C09049,S002,2025-09-23,Debit,Completed
O000194,C04007,S006,2025-08-05,Credit Card,Completed
O000195,C07260,S006,2025-07-31,Cash,Completed
O000196,C02503,S004,2026-07-08,Debit,Completed
O000197,C01172,S004,2025-10-20,Cash,Completed
O000198,C01084,S001,2026-05-08,Cash,Completed
O000199,C08027,S007,2026-03-15,Credit Card,Completed
O000200,C01498,S001,2025-11-29,Cash,Completed
O000201,C06777,S008,2025-07-30,Debit,Completed
O000202,C05172,S003,2025-09-08,Debit,Completed
O000203,C08774,S003,2025-10-09,Credit Card,Completed
O000204,C05656,S007,2025-12-02,Cash,Completed
O000205,C03167,S001,2026-07-16,Cash,Completed
O000206,C02519,S005,2026-04-26,Debit,Completed
O000207,C00086,S001,2026-01-07,Credit Card,Completed
O000208,C08894,S002,2025-10-10,Debit,Completed
O000209,C09832,S005,2026-06-15,Credit Card,Completed
O000210,C07368,S005,2026-07-14,Debit,Completed
O000211,C05988,S003,2026-01-26,Debit,Completed
O000212,C04117,S008,2026-07-26,Debit,Completed
O000213,C03392,S005,2026-03-13,Debit,Completed
O000214,C07341,S008,2026-05-17,Credit Card,Completed
O000215,C06452,S003,2026-03-23,Debit,Completed
O000216,C04204,S001,2026-04-06,Debit,Completed
O000217,C04273,S006,2025-10-18,Debit,Completed
O000218,C02766,S002,2025-10-28,Credit Card,Completed
O000219,C09435,S008,2026-04-08,Credit Card,Completed
O000220,C01794,S002,2025-09-14,Credit Card,Completed
O000221,C00253,S007,2026-04-09,Credit Card,Completed
O000222,C05870,S003,2026-06-04,Cash,Completed
O000223,C09285,S006,2026-03-13,Cash,Completed
O000224,C07990,S001,2026-04-03,Debit,Completed
O000225,C00523,S002,2025-12-13,Cash,Completed
O000226,C03239,S004,2026-03-31,Cash,Completed
O000227,C00807,S006,2026-03-15,Debit,Completed
O000228,C04499,S002,2026-05-05,Credit Card,Completed
O000229,C04387,S002,2026-05-11,Credit Card,Completed
O000230,C06547,S004,2025-10-25,Debit,Completed
O000231,C08673,S004,2026-04-18,Credit Card,Completed
O000232,C05592,S007,2026-01-10,Credit Card,Completed
O000233,C01957,S007,2026-01-08,Cash,Completed
O000234,C07852,S005,2026-03-21,Cash,Completed
O000235,C05777,S006,2025-12-26,Cash,Completed
O000236,C03589,S008,2026-07-15,Cash,Completed
O000237,C08491,S002,2025-09-15,Cash,Completed
O000238,C03660,S002,2026-02-09,Credit Card,Completed
O000239,C00649,S002,2026-06-27,Credit Card,Completed
O000240,C01595,S005,2026-04-09,Credit Card,Completed
O000241,C02431,S002,2025-08-12,Credit Card,Completed
O000242,C07031,S007,2025-12-20,Cash,Completed
O000243,C03176,S002,2026-07-21,Debit,Completed
O000244,C02930,S001,2025-08-31,Credit Card,Completed
O000245,C06790,S002,2026-05-13,Credit Card,Completed
O000246,C01773,S003,2025-10-04,Credit Card,Completed
O000247,C09166,S005,2025-11-29,Cash,Completed
O000248,C08590,S005,2025-09-09,Credit Card,Completed
O000249,C09664,S004,2026-01-26,Debit,Completed
O000250,C02837,S001,2026-05-09,Credit Card,Completed
O000251,C08182,S003,2025-09-08,Cash,Completed
O000252,C05369,S004,2025-08-12,Debit,Completed
O000253,C02912,S007,2026-01-05,Debit,Completed
O000254,C04696,S004,2025-12-24,Credit Card,Completed
O000255,C01640,S003,2026-06-26,Cash,Completed
O000256,C09310,S006,2026-06-25,Credit Card,Completed
O000257,C09701,S004,2026-01-28,Cash,Completed
O000258,C04798,S003,2026-01-02,Credit Card,Completed
O000259,C07016,S003,2025-09-18,Cash,Completed
O000260,C03090,S003,2025-11-27,Debit,Completed
O000261,C07285,S004,2025-11-19,Cash,Completed
O000262,C04475,S002,2025-12-08,Cash,Completed
O000263,C03509,S004,2026-05-07,Debit,Completed
O000264,C04203,S001,2025-11-21,Debit,Completed
O000265,C04601,S006,2025-11-09,Cash,Completed
O000266,C08688,S007,2026-06-23,Cash,Completed
O000267,C08487,S001,2026-06-13,Credit Card,Completed
O000268,C05500,S001,2025-09-07,Cash,Completed
O000269,C07642,S004,2025-09-15,Debit,Completed
O000270,C03166,S002,2025-12-31,Credit Card,Completed
O000271,C02702,S008,2026-06-15,Cash,Completed
O000272,C01899,S004,2026-01-21,Cash,Completed
O000273,C00141,S005,2025-08-05,Debit,Completed
O000274,C00396,S004,2025-12-26,Credit Card,Completed
O000275,C00960,S008,2026-06-07,Cash,Completed
O000276,C09057,S008,2026-07-12,Debit,Completed
O000277,C04896,S001,2026-05-24,Credit Card,Completed
O000278,C03766,S005,2025-09-07,Debit,Completed
O000279,C03872,S001,2025-11-29,Credit Card,Completed
O000280,C04961,S003,2025-10-07,Debit,Completed
O000281,C00252,S008,2026-06-21,Cash,Completed
O000282,C07488,S007,2025-10-01,Debit,Completed
O000283,C06633,S004,2026-02-05,Debit,Completed
O000284,C08842,S005,2025-12-27,Credit Card,Completed
O000285,C02945,S008,2026-07-13,Debit,Completed
O000286,C05942,S008,2025-12-02,Credit Card,Completed
O000287,C00154,S001,2025-09-24,Credit Card,Completed
O000288,C06848,S006,2026-06-26,Debit,Completed
O000289,C09362,S007,2025-08-16,Debit,Completed
O000290,C09206,S003,2025-10-26,Cash,Completed
O000291,C00463,S008,2026-07-19,Credit Card,Completed
O000292,C06561,S007,2025-11-13,Cash,Completed
O000293,C09714,S007,2025-12-14,Cash,Completed
O000294,C06716,S004,2025-10-27,Debit,Completed
O000295,C05048,S001,2025-09-07,Credit Card,Completed
O000296,C03963,S001,2026-01-28,Debit,Completed
O000297,C05149,S005,2026-01-26,Debit,Completed
O000298,C00257,S005,2026-02-24,Credit Card,Completed
O000299,C04320,S001,2026-03-08,Debit,Completed
O000300,C07800,S007,2026-03-06,Debit,Completed
O000301,C00706,S002,2026-04-14,Cash,Completed
O000302,C05092,S003,2026-06-22,Credit Card,Completed
O000303,C09508,S002,2026-01-27,Credit Card,Completed
O000304,C08978,S008,2026-02-22,Debit,Completed
O000305,C07813,S005,2026-01-12,Credit Card,Completed
O000306,C06680,S005,2025-12-19,Cash,Completed
O000307,C06405,S001,2026-07-12,Cash,Completed
O000308,C04630,S004,2026-03-21,Cash,Completed
O000309,C04564,S007,2025-09-24,Cash,Completed
O000310,C08939,S007,2026-01-06,Debit,Completed
O000311,C02257,S002,2026-02-16,Credit Card,Completed
O000312,C07019,S001,2026-03-14,Credit Card,Completed
O000313,C02341,S008,2026-07-23,Debit,Completed
O000314,C04111,S002,2025-12-01,Debit,Completed
O000315,C08955,S006,2026-06-11,Cash,Completed
O000316,C04449,S005,2026-05-02,Credit Card,Completed
O000317,C01119,S003,2026-02-19,Debit,Completed
O000318,C05796,S008,2026-02-25,Credit Card,Completed
O000319,C02366,S002,2026-03-12,Cash,Completed
O000320,C00920,S002,2025-09-18,Credit Card,Completed
O000321,C00599,S003,2026-02-09,Credit Card,Completed
O000322,C07815,S007,2025-08-04,Cash,Completed
O000323,C07127,S002,2025-10-13,Debit,Completed
O000324,C04388,S007,2025-10-02,Debit,Completed
O000325,C02288,S005,2026-06-14,Debit,Completed
O000326,C00077,S003,2026-02-18,Cash,Completed
O000327,C07851,S003,2026-03-05,Credit Card,Completed
O000328,C00721,S002,2025-10-01,Cash,Completed
O000329,C07449,S006,2026-01-02,Credit Card,Completed
O000330,C00450,S001,2026-01-04,Credit Card,Completed
O000331,C04175,S006,2025-11-12,Credit Card,Completed
O000332,C05041,S008,2025-09-16,Credit Card,Completed
O000333,C08563,S002,2026-01-21,Debit,Completed
O000334,C00149,S004,2026-07-08,Cash,Completed
O000335,C04218,S002,2025-09-24,Cash,Completed
O000336,C09165,S001,2025-11-23,Credit Card,Completed
O000337,C01400,S008,2025-12-26,Credit Card,Completed
O000338,C00096,S007,2026-01-06,Cash,Completed
O000339,C03307,S003,2025-08-22,Credit Card,Completed
O000340,C06934,S001,2026-04-08,Cash,Completed
O000341,C05217,S007,2025-11-03,Cash,Completed
O000342,C00350,S002,2026-07-05,Credit Card,Completed
O000343,C03110,S002,2025-11-27,Cash,Completed
O000344,C01203,S003,2025-09-08,Cash,Completed
O000345,C03789,S001,2025-10-25,Credit Card,Completed
O000346,C09012,S008,2025-12-25,Credit Card,Completed
O000347,C09056,S004,2026-05-19,Cash,Completed
O000348,C08713,S005,2026-04-19,Cash,Completed
O000349,C06200,S002,2026-07-14,Cash,Completed
O000350,C01564,S006,2025-10-28,Cash,Completed
O000351,C07939,S001,2025-09-14,Credit Card,Completed
O000352,C02797,S008,2026-07-01,Cash,Completed
O000353,C04827,S003,2026-01-01,Credit Card,Completed
O000354,C05871,S006,2026-07-25,Cash,Completed
O000355,C02854,S007,2026-01-02,Cash,Completed
O000356,C04861,S004,2025-11-30,Credit Card,Completed
O000357,C05281,S004,2026-06-01,Credit Card,Completed
O000358,C05212,S005,2025-09-16,Debit,Completed
O000359,C07296,S003,2025-09-25,Debit,Completed
O000360,C04244,S004,2026-05-10,Debit,Completed
O000361,C09138,S005,2025-09-28,Debit,Completed
O000362,C00053,S001,2026-05-05,Credit Card,Completed
O000363,C07388,S002,2025-10-10,Debit,Completed
O000364,C01960,S007,2026-06-06,Credit Card,Completed
O000365,C04919,S005,2025-10-28,Credit Card,Completed
O000366,C03008,S003,2026-02-14,Cash,Completed
O000367,C03192,S006,2026-03-23,Cash,Completed
O000368,C06246,S005,2026-04-29,Debit,Completed
O000369,C03960,S005,2026-02-21,Debit,Completed
O000370,C05467,S001,2025-11-20,Cash,Completed
O000371,C09107,S008,2025-11-28,Cash,Completed
O000372,C03846,S004,2026-04-17,Credit Card,Completed
O000373,C03907,S001,2025-12-02,Credit Card,Completed
O000374,C09358,S005,2026-01-30,Cash,Completed
O000375,C01717,S008,2025-12-03,Credit Card,Completed
O000376,C07600,S002,2025-09-13,Cash,Completed
O000377,C08687,S007,2025-12-23,Debit,Completed
O000378,C01161,S001,2025-12-03,Credit Card,Completed
O000379,C06976,S002,2026-06-26,Debit,Completed
O000380,C02238,S008,2026-07-23,Debit,Completed
O000381,C04061,S007,2026-02-17,Debit,Completed
O000382,C01117,S004,2026-06-22,Debit,Completed
O000383,C07517,S008,2026-03-01,Debit,Completed
O000384,C07259,S004,2025-09-13,Credit Card,Completed
O000385,C04055,S003,2025-08-04,Cash,Completed
O000386,C01749,S007,2025-10-13,Credit Card,Completed
O000387,C06528,S001,2026-05-02,Credit Card,Completed
O000388,C09269,S001,2025-09-26,Cash,Completed
O000389,C03231,S002,2025-09-05,Cash,Completed
O000390,C08611,S006,2026-05-29,Cash,Completed
O000391,C00075,S001,2026-03-31,Credit Card,Completed
O000392,C02339,S001,2025-11-08,Cash,Completed
O000393,C03769,S002,2026-02-18,Credit Card,Completed
O000394,C09760,S002,2026-03-18,Debit,Completed
O000395,C05682,S007,2026-01-31,Cash,Completed
O000396,C07308,S005,2026-02-07,Cash,Completed
O000397,C02825,S008,2026-07-13,Debit,Completed
O000398,C03209,S003,2026-07-14,Debit,Completed
O000399,C00393,S008,2026-04-10,Credit Card,Completed
O000400,C06666,S001,2026-07-12,Cash,Completed
O000401,C07401,S007,2025-12-18,Credit Card,Completed
O000402,C08953,S002,2025-12-29,Credit Card,Completed
O000403,C06021,S007,2025-10-04,Debit,Completed
O000404,C00912,S007,2025-11-15,Cash,Completed
O000405,C03826,S007,2026-06-29,Cash,Completed
O000406,C07428,S005,2025-08-20,Debit,Completed
O000407,C00190,S007,2025-09-21,Credit Card,Completed
O000408,C03961,S003,2026-07-23,Credit Card,Completed
O000409,C02157,S003,2025-11-19,Cash,Completed
O000410,C04041,S001,2025-09-07,Debit,Completed
O000411,C03882,S003,2026-03-21,Debit,Completed
O000412,C03424,S008,2025-10-12,Credit Card,Completed
O000413,C09557,S002,2025-11-19,Cash,Completed
O000414,C06575,S003,2026-07-25,Credit Card,Completed
O000415,C07847,S004,2026-06-23,Debit,Completed
O000416,C04077,S007,2025-11-19,Credit Card,Completed
O000417,C05170,S002,2025-12-09,Credit Card,Completed
O000418,C06394,S001,2025-12-26,Credit Card,Completed
O000419,C04601,S001,2025-12-11,Credit Card,Completed
O000420,C02705,S002,2026-06-21,Debit,Completed
O000421,C01278,S007,2026-07-20,Debit,Completed
O000422,C00727,S008,2026-03-16,Cash,Completed
O000423,C05241,S007,2026-05-13,Cash,Completed
O000424,C04411,S003,2025-11-05,Debit,Completed
O000425,C08104,S005,2025-11-17,Debit,Completed
O000426,C05253,S003,2025-09-16,Credit Card,Completed
O000427,C02298,S003,2026-06-13,Debit,Completed
O000428,C02466,S001,2026-05-24,Cash,Completed
O000429,C02030,S004,2025-09-27,Debit,Completed
O000430,C01692,S004,2025-10-17,Cash,Completed
O000431,C01901,S003,2025-08-11,Debit,Completed
O000432,C06729,S003,2025-12-01,Credit Card,Completed
O000433,C05461,S005,2026-03-20,Debit,Completed
O000434,C06818,S008,2026-04-30,Credit Card,Completed
O000435,C09562,S005,2025-09-03,Cash,Completed
O000436,C06493,S002,2026-07-19,Credit Card,Completed
O000437,C06355,S006,2026-07-18,Debit,Completed
O000438,C01336,S008,2026-02-16,Cash,Completed
O000439,C00591,S008,2026-04-19,Cash,Completed
O000440,C00175,S008,2026-02-10,Cash,Completed
O000441,C09542,S007,2025-09-29,Credit Card,Completed
O000442,C01886,S004,2025-08-31,Credit Card,Completed
O000443,C00303,S007,2026-05-26,Cash,Completed
O000444,C02346,S007,2025-09-11,Cash,Completed
O000445,C09089,S002,2025-09-28,Debit,Completed
O000446,C01766,S007,2026-02-11,Credit Card,Completed
O000447,C07123,S008,2026-07-21,Credit Card,Completed
O000448,C06032,S002,2026-03-21,Debit,Completed
O000449,C03537,S008,2026-01-09,Credit Card,Completed
O000450,C07210,S003,2026-05-29,Debit,Completed
O000451,C08161,S005,2026-01-31,Cash,Completed
O000452,C04770,S003,2026-03-26,Cash,Completed
O000453,C04603,S008,2025-07-29,Credit Card,Completed
O000454,C09394,S007,2025-12-31,Cash,Completed
O000455,C07205,S005,2025-10-16,Cash,Completed
O000456,C02824,S007,2026-07-13,Credit Card,Completed
O000457,C04592,S006,2026-05-30,Debit,Completed
O000458,C06255,S005,2026-04-26,Debit,Completed
O000459,C02583,S005,2025-08-02,Credit Card,Completed
O000460,C07835,S007,2025-11-16,Cash,Completed
O000461,C08926,S004,2026-05-05,Cash,Completed
O000462,C08390,S002,2025-11-19,Debit,Completed
O000463,C03001,S006,2026-04-30,Credit Card,Completed
O000464,C08691,S006,2026-02-22,Credit Card,Completed
O000465,C07745,S007,2026-04-28,Debit,Completed
O000466,C06065,S002,2025-09-17,Credit Card,Completed
O000467,C09946,S004,2026-05-07,Cash,Completed
O000468,C03871,S003,2025-09-18,Credit Card,Completed
O000469,C06984,S002,2026-05-11,Credit Card,Completed
O000470,C08826,S005,2026-02-24,Credit Card,Completed
O000471,C07557,S007,2025-09-20,Credit Card,Completed
O000472,C08486,S001,2025-12-04,Debit,Completed
O000473,C00294,S005,2025-09-08,Debit,Completed
O000474,C00588,S002,2026-03-20,Cash,Completed
O000475,C08861,S003,2026-03-31,Cash,Completed
O000476,C00876,S005,2026-04-22,Debit,Completed
O000477,C02325,S004,2025-12-16,Debit,Completed
O000478,C00863,S005,2025-12-25,Credit Card,Completed
O000479,C07694,S008,2025-11-05,Cash,Completed
O000480,C00212,S003,2025-10-25,Credit Card,Completed
O000481,C06353,S006,2025-08-27,Credit Card,Completed
O000482,C03452,S003,2025-12-22,Credit Card,Completed
O000483,C05962,S005,2025-09-10,Cash,Completed
O000484,C05751,S008,2026-07-07,Credit Card,Completed
O000485,C04406,S004,2025-12-02,Cash,Completed
O000486,C06508,S007,2025-09-16,Cash,Completed
O000487,C02624,S001,2026-05-26,Debit,Completed
O000488,C01204,S001,2026-02-21,Credit Card,Completed
O000489,C02955,S006,2025-10-04,Debit,Completed
O000490,C03574,S003,2025-12-05,Cash,Completed
O000491,C01077,S006,2026-05-28,Credit Card,Completed
O000492,C07702,S002,2025-09-09,Cash,Completed
O000493,C01165,S001,2026-02-17,Debit,Completed
O000494,C08591,S002,2025-10-15,Cash,Completed
O000495,C09289,S006,2026-01-08,Debit,Completed
O000496,C01658,S001,2025-11-11,Credit Card,Completed
O000497,C02569,S001,2025-10-09,Cash,Completed
O000498,C02497,S007,2026-07-08,Credit Card,Completed
O000499,C03725,S006,2026-03-24,Cash,Completed
O000500,C05825,S001,2025-08-12,Debit,Completed
O000501,C02286,S005,2025-10-03,Debit,Completed
O000502,C03541,S003,2025-10-23,Credit Card,Completed
O000503,C06164,S005,2026-01-17,Credit Card,Completed
O000504,C06657,S007,2026-07-11,Debit,Completed
O000505,C05051,S007,2026-07-01,Debit,Completed
O000506,C01609,S002,2026-01-03,Debit,Completed
O000507,C04666,S006,2026-06-04,Credit Card,Completed
O000508,C06419,S004,2026-03-19,Credit Card,Completed
O000509,C07240,S005,2026-05-18,Debit,Completed
O000510,C01970,S007,2026-06-01,Debit,Completed
O000511,C01907,S006,2026-02-14,Credit Card,Completed
O000512,C00384,S004,2026-06-06,Debit,Completed
O000513,C00939,S003,2026-01-24,Credit Card,Completed
O000514,C08657,S002,2026-06-30,Debit,Completed
O000515,C00528,S007,2025-10-08,Debit,Completed
O000516,C05211,S003,2025-08-15,Debit,Completed
O000517,C03544,S004,2025-12-11,Credit Card,Completed
O000518,C02812,S003,2025-09-05,Cash,Completed
O000519,C04724,S006,2026-07-20,Debit,Completed
O000520,C08955,S008,2026-07-25,Cash,Completed
O000521,C05477,S007,2026-01-25,Credit Card,Completed
O000522,C05077,S005,2026-06-13,Credit Card,Completed
